"Date Heure, GMT+01:00",Débit d'eau échangé (m/s) - pour les meilleurs paramètres,Débit d'eau échangé (m/s) - quantile 5%,Débit d'eau échangé (m/s) - quantile 50%,Débit d'eau échangé (m/s) - quantile 95%
14/04/21 10:46:36,-0.02777414582669735,-0.0265459687449038,-0.013971562497317791,-0.0013971562497317803
14/04/21 11:01:36,-0.023811420425772667,-0.02273592436686158,-0.011966275982558727,-0.001196627598255874
14/04/21 11:16:36,-0.024136139079928398,-0.023078385274857283,-0.01214651856571436,-0.001214651856571437
14/04/21 11:31:36,-0.024409625679254532,-0.023325554374605418,-0.012276607565581799,-0.001227660756558181
14/04/21 11:46:36,-0.024593401700258255,-0.023507198411971332,-0.012372209690511227,-0.0012372209690511237
14/04/21 12:01:36,-0.024744652211666107,-0.023649019561707972,-0.012446852400898933,-0.0012446852400898945
14/04/21 12:16:36,-0.02473200298845768,-0.023637131974101066,-0.012440595775842667,-0.0012440595775842678
14/04/21 12:31:36,-0.02486061491072178,-0.0237611748278141,-0.012505881488323212,-0.0012505881488323223
14/04/21 12:46:36,-0.024844247847795486,-0.023743600025773047,-0.01249663159251213,-0.0012496631592512142
14/04/21 13:01:36,-0.02476123534142971,-0.023664865549653767,-0.012455192394554615,-0.0012455192394554627
14/04/21 13:16:36,-0.024838825687766075,-0.02373943282291293,-0.012494438327848911,-0.0012494438327848923
14/04/21 13:31:36,-0.02488080970942974,-0.02377905398607254,-0.012515291571617126,-0.0012515291571617137
14/04/21 13:46:36,-0.024909934028983116,-0.023807398043572903,-0.012530209496617317,-0.0012530209496617328
